painkiller,oc,a1s-sallai,ss,0.27003799839443404
ihatehissite,oc,int-2eh,ss,0.27381798002219754
Pratham,oc,rapt0r,ss,0.2779069767441861
Dark TruTH,oc,rk5tar,htt,0.2884590163934426
Swapnil Haxor,oc,ra1ph,htt,0.25630940988835726
ravi0225,oc,ri1a,ss,0.07929411764705882
Drax00,oc,rapt0r,ss,0.08199999999999999
elite92,oc,arie,ss,0.02857142857142857
Satyajit Biswas,oc,sera,ss,0.23934426229508196
sh4downet,oc,sera,ss,0.29081081081081084
Phoenix,oc,arne,ss,0.21379310344827587
Pritam71,oc,arne,ss,0.016
Mr.HacKer,oc,arne,ss,0.24324324324324326
tonnik49,oc,arne,ss,0.013793103448275862
DeadManIndia,oc,arne,ss,0.22105263157894736
